date,value
2011-04-14,32
2011-04-15,29
2011-04-16,25
2011-04-17,23
2011-04-18,21
2011-04-19,26
2011-04-20,30
2011-04-21,31
2011-04-22,30
2011-04-23,30
2011-04-24,30
2011-04-25,33
2011-04-26,37
2011-04-27,40
2011-04-28,41
2011-04-29,42
2011-04-30,40
2011-05-01,39
2011-05-02,38
2011-05-03,31
2011-05-04,23
2011-05-05,23
2011-05-06,23
2011-05-07,24
2011-05-08,25
2011-05-09,28
2011-05-10,32
2011-05-11,37
2011-05-12,35
2011-05-13,32
2011-05-14,30
2011-05-15,28
2011-05-16,27
2011-05-17,27
2011-05-18,28
2011-05-19,23
2011-05-20,21
2011-05-21,19
2011-05-22,17
2011-05-23,14
2011-05-24,14
2011-05-25,14
2011-05-26,15
2011-05-27,17
2011-05-28,19
2011-05-29,19
2011-05-30,20
2011-05-31,17
2011-06-01,14
2011-06-02,11
2011-06-03,9
2011-06-04,8
2011-06-05,7
2011-06-06,6
2011-06-07,6
2011-06-08,5
2011-06-09,5
2011-06-10,6
2011-06-11,6
2011-06-12,6
2011-06-13,6
2011-06-14,6
2011-06-15,5
2011-06-16,4
2011-06-17,6
2011-06-18,8
2011-06-19,9
2011-06-20,10
2011-06-21,9
2011-06-22,9
2011-06-23,10
2011-06-24,12
2011-06-25,13
2011-06-26,14
2011-06-27,15
2011-06-28,20
2011-06-29,26
2011-06-30,36
2011-07-01,44
2011-07-02,44
2011-07-03,45
2011-07-04,46
2011-07-05,49
2011-07-06,52
2011-07-07,48
2011-07-08,45
2011-07-09,42
2011-07-10,38
2011-07-11,35
2011-07-12,31
2011-07-13,29
2011-07-14,31
2011-07-15,33
2011-07-16,33
2011-07-17,34
2011-07-18,35
2011-07-19,39
2011-07-20,48
2011-07-21,55
2011-07-22,55
2011-07-23,55
2011-07-24,55
2011-07-25,53
2011-07-26,43
2011-07-27,28
2011-07-28,18
2011-07-29,17
2011-07-30,16
2011-07-31,15
2011-08-01,11
2011-08-02,8
2011-08-03,6
2011-08-04,3
2011-08-05,2
2011-08-06,1
2011-08-07,1
